,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
104,979037.7546,189984.1582,105,0.07742534,0.000368636,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,Latitude not found,Longitude not found
105,986534.7151,184600.1437,106,0.049211012,0.000113617,Gowanus,106,Brooklyn,40.6791695,-73.9885041
106,988875.1265,207912.9373,107,0.038041365,7.46e-05,Gramercy,107,Manhattan,40.7355189,-73.9840794
107,989700.3676,153905.8123,108,0.111171412,0.000352866,Gravesend,108,Brooklyn,51.4424747,0.3694468
108,941809.1507,139267.3386,109,0.17826782,0.001169601,Great Kills,109,Staten Island,40.5542718,-74.1515318
109,949273.181,137228.665,110,0.103946293,0.000525745,Great Kills Park,110,Staten Island,40.55614525,-74.10837795048695
110,986750.3991,176859.8819,111,0.05993088,0.000208683,Green-Wood Cemetery,111,Brooklyn,40.65220295,-73.99107393108886
111,998531.4923,204813.3121,112,0.107267876,0.000462069,Greenpoint,112,Brooklyn,40.7237134,-73.9509714
112,985738.7666,206141.0082,113,0.032745351,5.8e-05,Greenwich Village North,113,Manhattan,13.1450109,123.749374
113,984616.4227,204729.466,114,0.031727035,4.7e-05,Greenwich Village South,114,Manhattan,40.7335844,-74.0028172
114,958574.6579,165219.1221,115,0.116169414,0.000373169,Grymes Hill/Clifton,115,Staten Island,40.6187152,-74.0934751
115,998816.0518,240775.0213,116,0.068116484,0.000260415,Hamilton Heights,116,Manhattan,40.8241451,-73.9500618
116,1046434.32,156515.0961,117,0.169885858,0.000904294,Hammels/Arverne,117,Queens,Latitude not found,Longitude not found
117,946177.8953,152667.3989,118,0.243966218,0.001826939,Heartland Village/Todt Hill,118,Staten Island,Latitude not found,Longitude not found
118,1004459.334,244129.0644,119,0.083507036,0.000185779,Highbridge,119,Bronx,51.2200079,-2.9764141
119,1003393.913,247507.081,120,0.08326127,9.31e-05,Highbridge Park,120,Manhattan,40.84591775,-73.92984478686536
120,1039769.76,204332.2327,121,0.096915337,0.000384563,Hillcrest/Pomonok,121,Queens,40.72372325,-73.80859560248109
121,1050352.622,198427.8778,122,0.066531844,0.000226597,Hollis,122,Queens,35.6674547,-119.1912178
122,993914.2874,157949.1149,123,0.083421139,0.000296445,Homecrest,123,Brooklyn,39.0903861,-77.0552558
123,1025865.93,179609.9773,124,0.12772441,0.000754838,Howard Beach,124,Queens,40.6578815,-73.8362459
124,982261.0755,203550.7913,125,0.049732212,7.64e-05,Hudson Sq,125,Manhattan,40.7268035,-74.0079833
125,1016089.089,235830.3585,126,0.129948726,0.000703274,Hunts Point,126,Bronx,47.6434321,-122.230124
126,1006287.517,254453.3252,127,0.060018886,0.000163196,Inwood,127,Manhattan,43.307926,-96.432184
127,1004872.848,257047.9705,128,0.070209029,0.000207406,Inwood Hill Park,128,Manhattan,40.87227365,-73.9254270915026
128,1015442.387,215841.865,129,0.093272727,0.000473988,Jackson Heights,129,Queens,40.7556561,-73.8857755
129,1039607.037,195561.1974,130,0.142028321,0.000468323,Jamaica,130,Queens,18.1850507,-77.3947693
130,1047623.987,201824.8689,131,0.116547121,0.000423696,Jamaica Estates,131,Queens,33.5334686,-82.1234523
131,1045786.102,173472.4165,132,0.245478517,0.002038301,JFK Airport,132,Queens,40.642947899999996,-73.7793733748521
132,991372.55,172223.4199,133,0.065134863,0.000157189,Kensington,133,Brooklyn,51.4989948,-0.1991229
133,1031383.547,197539.0295,134,0.069587822,0.000202375,Kew Gardens,134,Queens,51.4781261,-0.2969337154169749
134,1033033.879,205069.2965,135,0.121793046,0.000467912,Kew Gardens Hills,135,Queens,40.7159628,-73.8328014
135,1010327.417,254362.6257,136,0.090628715,0.000148525,Kingsbridge Heights,136,Bronx,40.8725702,-73.9026619
136,990590.519,209010.2761,137,0.046107624,0.000116455,Kips Bay,137,Manhattan,40.7395463,-73.9770832
137,1019479.472,221607.4718,138,0.107466934,0.000536797,LaGuardia Airport,138,Queens,40.7757145,-73.87336398511545
138,1055445.24,186303.0912,139,0.093299788,0.00044667,Laurelton,139,Queens,40.6667703,-73.7515212
139,996835.0322,218174.79,140,0.047584291,0.000114204,Lenox Hill East,140,Manhattan,40.7659937,-73.9635337
140,995409.7018,218659.3837,141,0.041514464,7.67e-05,Lenox Hill West,141,Manhattan,44.9459967,-93.365496
141,989414.8861,221232.1722,142,0.038175894,7.57e-05,Lincoln Square East,142,Manhattan,52.9433192,0.488684
